Date,Open,High,Low,Close,Adj Close,Volume,Volumej
5/02/2016,44.049999,45.639999,40.040001,41.330002,41.330002,21218500,2121.85
8/02/2016,39.130001,40.52,36.860001,37.220001,37.220001,6918000,691.8
9/02/2016,36.599998,40.59,36.599998,39.23,39.23,5577300,557.73
10/02/2016,40.09,41.080002,38.77,39.860001,39.860001,3229300,322.93
11/02/2016,39.119999,40.380001,38.52,39.98,39.98,1771600,177.16
12/02/2016,40.459999,41.200001,39.07,40.25,40.25,1979000,197.9
16/02/2016,40.970001,41.740002,39.779999,40.169998,40.169998,2423000,242.3
17/02/2016,40.360001,42.16,40.189999,42.09,42.09,3072000,307.2
18/02/2016,41.91,42.400002,40.959999,41.09,41.09,1278500,127.85
19/02/2016,41,42.650002,40.509998,42.389999,42.389999,1488300,148.83
22/02/2016,43.200001,43.200001,42.009998,42.66,42.66,1596400,159.64
23/02/2016,42.599998,42.66,40.619999,40.84,40.84,1651900,165.19
24/02/2016,40.5,42.16,39.619999,42.07,42.07,1590000,159
25/02/2016,43.330002,44.389999,42.349998,43.060001,43.060001,1784600,178.46
26/02/2016,43.91,45.139999,43.009998,44.41,44.41,2677200,267.72
29/02/2016,44.57,46.32,44.299999,45.650002,45.650002,1965700,196.57
1/03/2016,46.41,48.630001,46.049999,48.599998,48.599998,2832200,283.22
2/03/2016,48.439999,48.849998,44.09,44.189999,44.189999,4233700,423.37
3/03/2016,44.98,45.119999,42.349998,43.119999,43.119999,5705300,570.53
4/03/2016,43.490002,44.5,42.689999,42.75,42.75,4442200,444.22
